date,key_rate,inflation,inflation_target
2024.10.01 00:00:00,0.21,0.0854,0.04
2024.09.01 00:00:00,0.19,0.0863,0.04
2024.08.01 00:00:00,0.18,0.0905,0.04
2024.07.01 00:00:00,0.18,0.0913,0.04
2024.06.01 00:00:00,0.16,0.0859,0.04
2024.05.01 00:00:00,0.16,0.0830,0.04
2024.04.01 00:00:00,0.16,0.0784,0.04
2024.03.01 00:00:00,0.16,0.0772,0.04
2024.02.01 00:00:00,0.16,0.0769,0.04
2024.01.01 00:00:00,0.16,0.0744,0.04
2023.12.01 00:00:00,0.16,0.0742,0.04
2023.11.01. 00:00:00,0.15,0.0748,0.04
2023.10.01 00:00:00,0.15,0.0669,0.04
2023.09.01 00:00:00,0.13,0.06,0.04
2023.08.01 00:00:00,0.12,0.051500000000000004,0.04
2023.07.01 00:00:00,0.085,0.043,0.04
2023.06.01 00:00:00,0.075,0.0325,0.04
2023.05.01 00:00:00,0.075,0.025099999999999997,0.04
2023.04.01 00:00:00,0.075,0.0231,0.04
2023.03.01 00:00:00,0.075,0.0351,0.04
2023.02.01 00:00:00,0.075,0.1099,0.04
2023.01.01 00:00:00,0.075,0.1177,0.04
2022.12.01 00:00:00,0.075,0.11939999999999999,0.04
2022.11.01 00:00:00,0.075,0.1198,0.04
2022.10.01 00:00:00,0.075,0.1263,0.04
2022.09.01 00:00:00,0.075,0.1368,0.04
2022.08.01 00:00:00,0.08,0.14300000000000002,0.04
2022.07.01 00:00:00,0.08,0.151,0.04
2022.06.01 00:00:00,0.095,0.159,0.04
2022.05.01 00:00:00,0.11,0.171,0.04
2022.04.01 00:00:00,0.17,0.1783,0.04
2022.03.01 00:00:00,0.2,0.16690000000000002,0.04
2022.02.01 00:00:00,0.2,0.0915,0.04
2022.01.01 00:00:00,0.085,0.0873,0.04
2021.12.01 00:00:00,0.085,0.0839,0.04
2021.11.01 00:00:00,0.075,0.084,0.04
2021.10.01 00:00:00,0.075,0.08130000000000001,0.04
2021.09.01 00:00:00,0.0675,0.07400000000000001,0.04
2021.08.01 00:00:00,0.065,0.0668,0.04
2021.07.01 00:00:00,0.065,0.065,0.04
2021.06.01 00:00:00,0.055,0.065,0.04
2021.05.01 00:00:00,0.05,0.06,0.04
2021.04.01 00:00:00,0.05,0.055,0.04
2021.03.01 00:00:00,0.045,0.057999999999999996,0.04
2021.02.01 00:00:00,0.0425,0.057,0.04
2021.01.01 00:00:00,0.0425,0.052000000000000005,0.04
2020.12.01 00:00:00,0.0425,0.049,0.04
2020.11.01 00:00:00,0.0425,0.044000000000000004,0.04
2020.10.01 00:00:00,0.0425,0.04,0.04
2020.09.01 00:00:00,0.0425,0.037000000000000005,0.04
2020.08.01 00:00:00,0.0425,0.036000000000000004,0.04
2020.07.01 00:00:00,0.0425,0.034,0.04
2020.06.01 00:00:00,0.045,0.032,0.04
2020.05.01 00:00:00,0.055,0.03,0.04
2020.04.01 00:00:00,0.055,0.031,0.04
2020.03.01 00:00:00,0.06,0.025,0.04
2020.02.01 00:00:00,0.06,0.023,0.04
2020.01.01 00:00:00,0.0625,0.024,0.04
2019.12.01 00:00:00,0.0625,0.03,0.04
2019.11.01 00:00:00,0.065,0.035,0.04
2019.10.01 00:00:00,0.065,0.038,0.04
2019.09.01 00:00:00,0.07,0.04,0.04
2019.08.01 00:00:00,0.0725,0.043,0.04
2019.07.01 00:00:00,0.0725,0.046,0.04
2019.06.01 00:00:00,0.075,0.047,0.04
2019.05.01 00:00:00,0.0775,0.051,0.04
2019.04.01 00:00:00,0.0775,0.052000000000000005,0.04
2019.03.01 00:00:00,0.0775,0.053,0.04
2019.02.01 00:00:00,0.0775,0.052000000000000005,0.04
2019.01.01 00:00:00,0.0775,0.05,0.04
